target,credit_amount,duration_months,age_years,installment_rate_pct,checking_status_ord,employment_since_ord,credit_history_ord,debtors_co_applicant,property_Immobilien,property_None,instplan_bank,instplan_none,housing_free,housing_own,housing_rent,Status_bin,purpose_Consumption
1,-0.0078641987148748,1.2525737273156552,0.3037877757521432,0.9184771676276684,-1.0464627355633285,1.0,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
1,-0.4145008151913302,-0.2408572253028645,2.238741761434584,0.9184771676276684,1.0443719009268386,-0.341676771851476,0.5034279555987932,0,0,1,0,1,1,0,0,1,0.0
2,-0.5265176944471085,0.2569530922366421,0.2158353218574868,0.9184771676276684,2.089789219171922,0.4744611097274053,0.5034279555987932,0,0,1,1,0,1,0,0,1,1.0
1,-0.3228157667593747,-0.4897623840726178,-0.2239269476157951,0.9184771676276684,-1.0464627355633285,-0.341676771851476,-0.4202930638485338,0,1,0,1,0,0,1,0,0,1.0
1,-0.3047856526325885,0.2569530922366421,-0.1359744937211387,0.9184771676276684,-1.0464627355633285,0.4744611097274053,0.5034279555987932,0,0,0,0,1,0,1,0,0,1.0
1,0.5978709120552412,0.2569530922366421,0.1278828679628304,0.9184771676276684,1.0443719009268386,0.0,-1.3440140832958607,0,0,0,0,1,0,1,0,0,1.0
1,1.5319842716025702,0.2569530922366421,0.479692683541456,0.0241469167730741,-1.0464627355633285,1.2905989913062863,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
2,0.4198714874844154,0.0080479334668887,-0.8395941248783899,-0.8701833340815202,-0.0010454173182449,0.0,-0.4202930638485338,0,0,0,0,1,0,1,0,1,0.0
1,1.5726479332502157,0.2569530922366421,0.7435500452254252,-0.8701833340815202,-0.0010454173182449,0.0,-1.3440140832958607,0,0,1,0,1,1,0,0,0,1.0
2,-0.1517214922796586,-0.2408572253028645,-0.7516416709837335,0.9184771676276684,1.0443719009268386,-1.1578146534303573,0.5034279555987932,0,1,0,0,1,0,0,1,0,1.0
2,0.968063680828618,-0.738667542842371,0.6555975913307688,0.0241469167730741,-0.0010454173182449,1.2905989913062863,-1.3440140832958607,1,0,0,0,1,0,0,1,1,1.0
1,-0.1517214922796586,-0.90460431535554,0.2158353218574868,-1.7645135849361149,-1.0464627355633285,0.0,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
2,5.227006809245228,2.746004679934175,1.9748843997506147,0.0241469167730741,1.0443719009268386,-1.1578146534303573,2.350869994493447,0,0,1,0,1,0,0,1,1,1.0
1,-0.7509350724081711,-1.2364778603818776,1.4471696763826765,0.9184771676276684,-1.0464627355633285,-0.341676771851476,-1.3440140832958607,0,0,0,0,1,0,1,0,0,1.0
1,-0.3957034621655318,-0.9875727016121244,1.095359860804051,0.0241469167730741,-0.0010454173182449,1.2905989913062863,-1.3440140832958607,0,1,0,0,1,0,1,0,1,1.0
2,0.7586074613982929,-0.2408572253028645,0.3917402296467996,0.9184771676276684,1.0443719009268386,1.2905989913062863,-0.4202930638485338,0,0,1,0,1,0,1,0,0,1.0
1,-0.4214059652824398,-1.2364778603818776,-0.7516416709837335,-1.7645135849361149,-1.0464627355633285,0.0,-1.3440140832958607,0,0,0,0,1,0,1,0,0,1.0
1,2.036827467152585,2.2481943623946683,0.919454953014738,0.9184771676276684,-1.0464627355633285,1.2905989913062863,-1.3440140832958607,0,0,0,1,0,0,1,0,0,0.0
1,-0.5499184808669799,-0.738667542842371,-1.279356394351672,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,0,0,0,1,0,1,0,0,1.0
1,1.351299510885202,1.2525737273156552,-0.0480220398264823,-0.8701833340815202,-1.0464627355633285,0.0,-1.3440140832958607,0,0,0,0,1,0,1,0,1,1.0
1,-0.4881557494964995,-1.2364778603818776,1.2712647685933636,-0.8701833340815202,2.089789219171922,-0.341676771851476,-1.3440140832958607,0,0,0,0,1,0,1,0,0,0.0
2,-0.0650234966912822,0.7547634097761486,-1.0154990326677027,0.9184771676276684,1.0443719009268386,-0.341676771851476,0.5034279555987932,0,0,1,1,0,0,1,0,0,1.0
1,0.0957130526517694,1.5014788860854085,-1.0154990326677027,0.9184771676276684,-1.0464627355633285,-0.341676771851476,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
1,0.2721779994245708,-0.4897623840726178,-0.2239269476157951,-0.8701833340815202,-1.0464627355633285,0.4744611097274053,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
1,-0.4578498129855183,-0.2408572253028645,-1.279356394351672,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,0,1,0,1.0
1,0.0991656276973242,0.2569530922366421,-0.1359744937211387,-0.8701833340815202,-1.0464627355633285,1.2905989913062863,-1.3440140832958607,0,0,0,0,1,0,1,0,1,1.0
1,2.1116332598062724,0.5888266372629798,0.3917402296467996,0.0241469167730741,-1.0464627355633285,-1.1578146534303573,1.42714897504612,0,1,0,1,0,0,0,1,1,1.0
1,0.2526134074997602,-1.2364778603818776,-0.3118794015104515,-1.7645135849361149,-1.0464627355633285,0.0,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
1,-0.3339407307950513,-1.2364778603818776,-0.3998318554051079,-1.7645135849361149,1.0443719009268386,1.2905989913062863,-0.4202930638485338,0,0,0,1,0,0,1,0,0,1.0
1,-0.4858540327994629,-0.4897623840726178,-0.7516416709837335,0.9184771676276684,-0.0010454173182449,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,0,1.0
1,1.6340270451711902,0.2569530922366421,-0.5757367631944207,0.9184771676276684,-0.0010454173182449,0.0,0.5034279555987932,0,0,1,0,1,1,0,0,1,1.0
2,-0.3742207729931907,0.2569530922366421,0.1278828679628304,0.9184771676276684,2.089789219171922,0.4744611097274053,-1.3440140832958607,0,1,0,1,0,0,1,0,1,1.0
1,-0.051213196509063,-0.4897623840726178,-0.2239269476157951,-1.7645135849361149,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,1,0,0,0,1,0,1.0
2,-0.1858636232857005,0.0080479334668887,-0.9275465787730462,0.0241469167730741,-0.0010454173182449,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,0,1.0
2,-0.3688501007001055,0.2569530922366421,0.3917402296467996,0.9184771676276684,-0.0010454173182449,1.2905989913062863,1.42714897504612,0,0,0,0,0,0,1,0,1,0.0
1,-0.0270451711901793,-0.2408572253028645,-0.4877843092997643,0.9184771676276684,-0.0010454173182449,0.4744611097274053,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
1,0.1363767142994149,0.0910163197234732,0.3917402296467996,0.0241469167730741,-1.0464627355633285,1.2905989913062863,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
2,-0.0063297209168504,0.2569530922366421,0.8315024991200816,0.9184771676276684,-0.0010454173182449,1.2905989913062863,0.5034279555987932,1,1,0,0,1,0,1,0,1,1.0
1,0.4873885105974873,-0.2408572253028645,0.3917402296467996,0.0241469167730741,1.0443719009268386,0.0,-1.3440140832958607,0,0,0,0,1,0,1,0,0,0.0
1,-0.081135513570538,-1.2364778603818776,-0.5757367631944207,-0.8701833340815202,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,0,1,0,1.0
1,-0.4072120456507145,0.2569530922366421,-0.9275465787730462,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,1,0.0
2,-0.4559317157379879,-0.2408572253028645,-0.2239269476157951,0.9184771676276684,-0.0010454173182449,-1.9739525350092384,0.5034279555987932,0,0,0,0,1,0,1,0,0,1.0
1,0.012851251558454,0.0080479334668887,1.0074074069093943,-1.7645135849361149,1.0443719009268386,-0.341676771851476,-0.4202930638485338,0,0,0,0,1,0,1,0,0,1.0
2,4.088040663661648,-0.2408572253028645,0.2158353218574868,0.0241469167730741,1.0443719009268386,0.0,0.5034279555987932,0,0,1,0,1,1,0,0,0,1.0
1,-0.4072120456507145,-0.738667542842371,-1.1914039404570154,-0.8701833340815202,-1.0464627355633285,0.0,-1.3440140832958607,0,0,0,0,1,0,0,1,0,1.0
1,-0.5921166203126499,-0.738667542842371,-0.6636892170890771,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,0,1.0
1,0.4908410856430421,0.0080479334668887,-0.8395941248783899,-1.7645135849361149,-0.0010454173182449,0.4744611097274053,0.5034279555987932,0,0,0,0,1,0,0,1,0,1.0
1,0.5111729164668649,0.0080479334668887,-0.7516416709837335,-0.8701833340815202,1.0443719009268386,0.4744611097274053,-1.3440140832958607,0,0,0,0,1,0,1,0,1,0.0
1,0.0627217799942457,0.2569530922366421,-1.1914039404570154,0.9184771676276684,-0.0010454173182449,0.0,1.42714897504612,0,1,0,0,0,0,1,0,1,1.0
2,-0.3930181260189891,-0.738667542842371,-0.9275465787730462,0.0241469167730741,1.0443719009268386,0.0,0.5034279555987932,0,0,0,0,1,0,0,1,0,1.0
1,-0.742111825069531,-0.738667542842371,1.9748843997506147,0.9184771676276684,-0.0010454173182449,0.0,-1.3440140832958607,0,1,0,0,1,0,1,0,0,1.0
1,0.4873885105974873,-0.738667542842371,-0.5757367631944207,-0.8701833340815202,-0.0010454173182449,0.0,0.5034279555987932,1,0,0,0,1,0,1,0,1,1.0
1,-0.4666730603241584,-0.738667542842371,-0.5757367631944207,0.9184771676276684,1.0443719009268386,0.4744611097274053,0.5034279555987932,0,1,0,0,1,0,1,0,1,1.0
1,-0.4919919439915604,-0.738667542842371,0.3037877757521432,0.0241469167730741,1.0443719009268386,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,1,0.0
1,0.5871295674690706,-0.2408572253028645,-0.7516416709837335,0.0241469167730741,-1.0464627355633285,0.0,-1.3440140832958607,0,0,0,0,1,0,1,0,1,1.0
2,2.058310156324925,2.2481943623946683,0.1278828679628304,-0.8701833340815202,-0.0010454173182449,0.4744611097274053,1.42714897504612,0,0,0,0,1,0,0,1,0,0.0
1,0.2913589718998753,1.2525737273156552,0.039930414068174,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,1,1.0
1,-0.3849621175793613,-0.4897623840726178,1.0074074069093943,-0.8701833340815202,-1.0464627355633285,-0.341676771851476,-1.3440140832958607,0,0,0,0,1,0,1,0,0,1.0
1,-0.3243502445573991,0.2569530922366421,-0.2239269476157951,0.9184771676276684,-1.0464627355633285,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,0,1.0
2,0.5694830727917906,1.2525737273156552,0.5676451374361124,0.9184771676276684,1.0443719009268386,-0.341676771851476,2.350869994493447,0,0,0,0,1,0,1,0,0,1.0
2,2.123525462740961,1.2525737273156552,-0.9275465787730462,0.9184771676276684,-1.0464627355633285,0.0,-1.3440140832958607,0,1,0,0,0,0,1,0,0,1.0
1,-0.3477510309772705,-0.738667542842371,1.7110270380666457,0.0241469167730741,-1.0464627355633285,0.0,0.5034279555987932,0,0,0,0,1,0,1,0,1,1.0
2,-0.6020907259998082,-0.2408572253028645,-0.7516416709837335,0.9184771676276684,-0.0010454173182449,0.0,0.5034279555987932,0,1,0,0,1,0,1,0,0,0.0
2,2.307662798503884,1.2525737273156552,1.0074074069093943,0.0241469167730741,-0.0010454173182449,0.0,0.5034279555987932,0,0,1,0,1,1,0,0,1,1.0
1,0.000191809724753,-0.2408572253028645,-0.1359744937211387,-0.8701833340815202,-1.0464627355633285,-1.9739525350092384,-0.4202930638485338,0,1,0,0,1,0,1,0,0,1.0
1,-0.3243502445573991,-0.738667542842371,-0.2239269476157951,0.9184771676276684,2.089789219171922,0.0,0.5034279555987932,0,0,0,1,0,0,1,0,0,1.0
1,3.2820562002493525,1.2525737273156552,0.8315024991200816,-0.8701833340815202,-1.0464627355633285,1.2905989913062863,-0.4202930638485338,0,0,0,0,1,0,1,0,1,1.0
1,0.4068284262012084,-1.4024146328950464,0.1278828679628304,-1.7645135849361149,-1.0464627355633285,0.4744611097274053,-1.3440140832958607,0,1,0,0,1,0,1,0,0,1.0
1,1.3355711134554522,-0.738667542842371,1.1833123146987072,-0.8701833340815202,-1.0464627355633285,0.0,-1.3440140832958607,0,0,0,0,1,0,0,1,1,1.0
1,-0.1359930948499089,0.2569530922366421,0.5676451374361124,0.9184771676276684,1.0443719009268386,-0.341676771851476,-0.4202930638485338,0,0,0,0,1,0,0,1,0,1.0
1,-0.3017166970365397,0.2569530922366421,0.2158353218574868,0.9184771676276684,-1.0464627355633285,-1.1578146534303573,0.5034279555987932,0,0,0,0,0,0,1,0,0,1.0
2,0.2840702023592596,2.2481943623946683,-0.6636892170890771,0.9184771676276684,1.0443719009268386,0.4744611097274053,0.5034279555987932,0,1,0,0,1,0,1,0,1,1.0
1,-0.6895559604871967,-0.738667542842371,0.5676451374361124,0.9184771676276684,-1.0464627355633285,1.2905989913062863,-1.3440140832958607,0,0,0,0,1,0,1,0,1,1.0
